Undecided,Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church
1,51,1,1,1,4,171.0,15,0
1,37,1,1,1,3,96.0,18,0
1,53,1,1,1,6,86.0,20,0
0,33,1,1,1,2,176.0,18,1
0,46,1,1,1,6,420.0,15,1
1,34,1,1,1,6,109.0,15,0
0,61,1,0,1,3,39.0,20,1
1,55,1,0,1,6,132.0,16,0
0,35,1,1,1,5,92.0,18,1
1,49,1,1,1,3,27.0,16,0
0,50,1,0,1,4,18.0,8,0
1,49,1,1,1,2,66.0,15,1
1,48,1,1,1,6,50.0,12,1
1,37,1,0,1,7,139.0,15,1
1,56,1,1,1,5,127.0,13,1
1,30,1,1,1,7,79.0,15,1
0,63,1,0,1,3,85.0,20,0
0,54,0,1,1,5,122.0,12,0
0,51,1,1,0,1,30.0,20,1
0,45,1,1,1,5,83.0,18,1
0,34,1,0,1,3,289.0,15,0
1,41,1,0,0,4,74.0,15,0
0,49,1,1,1,3,222.0,20,1
1,56,1,0,1,3,73.0,16,0
0,41,1,1,1,5,161.0,9,1
0,59,1,1,1,4,71.0,20,1
0,61,1,0,0,2,122.0,20,0
0,38,0,1,1,3,242.0,18,1
0,52,1,0,1,3,276.0,15,0
1,49,1,1,1,4,104.0,18,0
0,45,1,1,1,3,148.0,20,1
0,47,1,1,1,3,130.0,20,1
1,57,1,1,1,2,94.0,15,0
0,51,0,1,1,7,59.0,10,0
0,66,1,1,1,4,163.0,20,1
0,52,1,1,1,5,153.0,12,0
1,54,1,1,1,5,99.0,18,0
1,53,1,1,1,3,43.0,18,0
0,57,1,0,1,3,80.0,20,1
0,48,1,1,1,5,141.0,12,0
1,48,1,1,1,3,104.0,18,0
0,63,1,1,0,3,174.0,20,1
1,49,1,1,0,3,56.0,16,1
0,36,0,0,1,4,107.0,18,0
1,62,1,0,0,2,136.0,16,0
1,60,1,1,1,3,87.0,16,0
0,37,1,0,1,2,198.5,9,1
0,67,1,1,1,3,18.0,8,0
1,54,1,1,0,1,53.0,20,0
1,61,1,1,0,1,87.0,20,0
1,38,1,1,1,5,117.0,18,0
0,45,1,1,1,4,12.0,18,1
0,62,1,0,0,1,145.0,20,1
1,56,1,1,1,3,80.0,20,0
1,65,1,1,1,3,21.0,20,0
1,51,1,1,1,3,53.0,16,0
0,35,1,1,1,3,78.0,18,1
1,54,1,1,1,3,109.0,20,0
1,38,1,1,0,3,40.5,15,0
1,63,1,1,1,3,90.0,20,0
1,52,0,1,0,4,53.0,16,1
1,32,1,0,1,4,75.0,18,0
1,36,1,1,1,4,173.0,15,1
0,58,1,0,1,2,79.0,20,1
0,52,1,1,1,5,172.0,18,1
0,43,1,0,1,2,90.0,9,0
0,49,1,1,0,1,114.0,9,0
0,38,0,1,1,5,354.0,15,0
0,37,1,0,0,1,15.0,18,1
0,54,0,0,0,1,48.0,8,0
0,53,1,0,1,4,227.0,18,0
0,28,1,1,1,3,72.0,8,0
0,58,1,1,1,4,77.0,20,1
0,49,1,1,1,5,490.0,15,0
1,38,1,1,1,3,119.0,18,0
0,53,1,1,0,4,106.0,18,1
0,32,1,0,1,5,46.0,8,0
1,57,1,1,0,1,65.0,20,0
0,65,0,0,1,4,137.0,20,1
1,53,1,1,1,7,134.0,15,1
0,57,1,1,1,2,139.0,12,1
1,57,1,1,1,3,4.0,20,0
0,37,1,0,1,3,62.0,8,0
0,50,1,1,1,3,101.0,20,1
1,46,0,0,1,4,50.0,16,1
1,43,1,1,0,2,37.0,18,0
0,52,1,1,1,2,142.0,20,1
0,45,1,1,1,4,323.0,15,0
1,55,1,1,1,5,26.0,16,1
1,59,1,1,1,2,113.0,13,0
1,34,1,0,1,5,66.0,15,0
0,50,1,1,0,3,41.0,20,1
1,49,1,1,1,5,73.0,20,0
1,45,1,1,1,4,119.0,12,1
0,64,1,1,1,3,103.0,8,0
0,46,1,1,1,3,113.0,20,1
1,50,1,1,1,3,58.0,15,1
0,35,1,1,1,5,174.0,18,1
0,39,1,1,1,5,99.0,12,0
0,49,1,1,1,5,66.0,20,1
1,40,1,1,1,5,108.0,15,0
0,62,1,1,1,2,110.0,20,1
0,40,1,1,0,2,24.0,9,1
1,56,1,1,1,4,21.0,18,0
0,44,1,0,1,2,417.0,18,0
1,64,1,1,1,5,73.0,20,0
1,46,1,1,1,3,204.0,18,0
1,54,1,1,1,2,218.0,18,1
0,37,0,0,1,2,114.0,18,1
1,48,1,1,1,2,49.0,15,1
1,44,1,1,0,2,47.0,20,0
0,65,0,1,1,5,32.0,8,0
0,39,1,1,1,3,167.0,18,1
0,49,1,1,1,4,216.0,12,0
1,39,1,1,1,4,84.0,15,1
1,54,1,1,0,2,136.0,18,0
0,46,1,1,1,3,63.0,9,0
0,56,1,1,1,2,88.0,20,1
0,54,1,0,1,2,82.0,9,0
0,48,1,1,0,1,68.0,10,0
0,65,1,1,0,1,111.0,20,1
0,54,1,1,1,2,47.0,8,1
1,42,1,1,1,3,138.0,15,1
0,45,0,1,1,3,96.0,8,1
0,49,1,1,1,4,167.0,20,1
1,38,1,1,1,5,160.0,15,1
0,41,1,1,1,4,75.0,12,1
1,51,1,1,0,1,92.0,18,0
1,73,0,1,1,2,90.0,20,0
1,37,1,0,1,3,136.0,15,0
1,58,1,1,0,1,75.0,20,0
1,65,1,1,1,4,171.0,20,0
1,47,1,1,1,5,96.0,15,0
0,33,1,1,1,4,81.0,8,0
0,49,1,0,1,6,111.0,12,1
0,44,1,0,1,7,135.0,20,0
0,47,1,1,1,5,234.0,12,1
1,57,1,1,0,1,40.0,13,0
0,50,1,0,1,4,62.0,20,1
1,40,1,1,1,6,78.0,15,1
0,45,1,0,1,6,190.0,16,0
1,51,1,1,1,4,150.0,18,0
1,38,1,1,1,4,130.0,15,0
0,44,1,1,0,1,113.0,20,1
0,49,1,1,1,4,247.0,8,1
1,38,1,1,1,3,131.0,18,0
0,55,1,0,1,4,61.0,18,1
