,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
0,SR DATA SCIENTIST,137-171 ,3.1,HEALTHFIRST,"New York, NY","New York, NY",1001 to 5000 employees,NONPROFIT ORGANIZATION,INSURANCE CARRIERS,Insurance,Unknown / Non-Applicable,137,171,154, NY,1,27.0,0,0,0,0,1,0,0,data scientist,senior
1,DATA SCIENTIST,137-171 ,4.2,MANTECH,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,COMPANY - PUBLIC,RESEARCH & DEVELOPMENT,Business Services,$1 to $2 billion (USD),137,171,154, VA,0,52.0,0,0,1,0,0,0,1,data scientist,na
2,DATA SCIENTIST,137-171 ,3.8,ANALYSIS GROUP,"Boston, MA","Boston, MA",1001 to 5000 employees,PRIVATE PRACTICE / FIRM,CONSULTING,Business Services,$100 to $500 million (USD),137,171,154, MA,1,39.0,1,1,0,0,1,0,0,data scientist,na
3,DATA SCIENTIST,137-171 ,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,COMPANY - PUBLIC,ELECTRICAL & ELECTRONIC MANUFACTURING,Manufacturing,$100 to $500 million (USD),137,171,154, MA,0,20.0,1,1,0,0,1,0,0,data scientist,na
4,DATA SCIENTIST,137-171 ,2.9,AFFINITY SOLUTIONS,"New York, NY","New York, NY",51 to 200 employees,COMPANY - PRIVATE,ADVERTISING & MARKETING,Business Services,Unknown / Non-Applicable,137,171,154, NY,1,22.0,1,1,0,0,0,0,0,data scientist,na
5,DATA SCIENTIST,137-171 ,4.2,HG INSIGHTS,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,Unknown / Non-Applicable,137,171,154, CA,1,10.0,1,1,1,1,0,0,0,data scientist,na
6,DATA SCIENTIST / MACHINE LEARNING EXPERT,137-171 ,3.9,NOVARTIS,"Cambridge, MA","Basel, Switzerland",10000+ employees,COMPANY - PUBLIC,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$10+ billion (USD),137,171,154, MA,0,24.0,1,0,0,0,0,0,0,data scientist,na
7,DATA SCIENTIST,137-171 ,3.5,IROBOT,"Bedford, MA","Bedford, MA",1001 to 5000 employees,COMPANY - PUBLIC,CONSUMER ELECTRONICS & APPLIANCES STORES,Retail,$1 to $2 billion (USD),137,171,154, MA,1,30.0,1,0,0,0,0,0,0,data scientist,na
8,STAFF DATA SCIENTIST - ANALYTICS,137-171 ,4.4,INTUIT - DATA,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,COMPANY - PUBLIC,COMPUTER HARDWARE & SOFTWARE,Information Technology,$2 to $5 billion (USD),137,171,154, CA,0,37.0,0,0,0,0,0,0,0,data scientist,na
9,DATA SCIENTIST,137-171 ,3.6,XSELL TECHNOLOGIES,"Chicago, IL","Chicago, IL",51 to 200 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,Unknown / Non-Applicable,137,171,154, IL,1,6.0,1,0,0,0,0,0,0,data scientist,na
